sample,a_A,b_A,c_A,TC_experimental_K,TC_predicted_K,reference
Nd0.67Ba0.33Mn0.9Fe0.1O3,5.4929,7.7624,5.5207,40.00,41.39,[22]
Nd0.67Ba0.33Mn0.93Fe0.07O3,5.4927,7.7613,5.5203,50.00,49.27,[22]
Nd0.67Ba0.33Mn0.95Fe0.05O3,5.4923,7.7609,5.5201,61.00,62.64,[22]
Pr0.7Ca0.3Mn0.9Fe0.1O3,5.4319,7.6753,5.4646,80.00,80.83,[29]
Pr0.7Ca0.3Mn0.95Fe0.05O3,5.4321,7.6743,5.4648,89.95,89.80,[30]
Pr0.8Na0.2MnO3,5.4460,5.4481,7.7113,92.00,92.84,[20]
La0.5Sm0.2Sr0.3Mn0.8Fe0.15O3,5.5038,7.7388,5.4746,94.00,95.23,[19]
Pr0.7Ca0.3Mn0.95Co0.05O3,5.4299,7.6696,5.4572,104.97,106.52,[30]
Pr0.7Ca0.3Mn0.08Co0.02O3,5.4303,7.6729,5.4599,106.00,105.89,[31]
Pr0.7Ca0.3Mn0.95Co0.05O3,5.4314,7.6711,5.4591,107.50,107.58,[31]
Pr0.7Ca0.3Mn0.95Ni0.05O3,5.4295,7.6708,5.4508,109.97,110.66,[30]
Pr0.6Ca0.1Sr0.3Mn0.025Fe0.075O3,5.4427,5.4669,7.6919,112.00,112.79,[25]
Pr0.7Ca0.3Mn0.9Co0.1O3,5.4306,7.6705,5.4484,116.00,115.97,[29]
Pr0.7Ca0.3Mn0.9Co0.1O3,5.4306,7.6705,5.4484,116.00,115.97,[31]
Pr0.7Ca0.3Mn0.9Ni0.1O3,5.4328,7.6892,5.4195,118.00,118.44,[29]
La0.7Sr0.25Na0.05Mn0.8Ti0.2O3,5.5312,5.5312,13.4161,125.00,126.23,[60]
La0.6Pr0.1Ba0.3Mn0.7Ni0.3O3,5.4813,7.6853,5.4519,131.00,131.53,[28]
Nd0.67Ba0.33Mn0.98Fe0.02O3,5.4917,7.7602,5.5196,131.00,129.89,[22]
Pr0.1Sm0.45Sr0.45MnO3,5.4427,5.4415,7.6800,132.00,132.43,[26]
Pr0.8Na0.05K0.15MnO3,5.5641,5.4661,7.7374,134.00,134.69,[20]
La0.5Sm0.2Sr0.3Mn0.9Fe0.1O3,5.5027,7.7403,5.4740,136.00,136.20,[19]
Pr0.7Ca0.3Mn0.95Cr0.05O3,5.4300,7.6679,5.4572,139.70,144.46,[30]
Pr0.7Ca0.3Mn0.9Cr0.1O3,5.4293,7.6691,5.4552,150.00,154.41,[29]
Nd0.67Ba0.33MnO3,5.4915,7.7591,5.5519,150.00,150.05,[22]
Pr0.7Ca0.3Mn0.95Cr0.05O3,5.4300,7.6679,5.4572,150.00,144.46,[21]
Pr0.8Sr0.2MnO3,5.4893,5.4795,7.7413,150.00,150.71,[50]
Pr0.6La0.2Sr0.2MnO3,5.4937,5.4634,7.7656,150.00,150.63,[50]
La0.7Sr0.25Na0.05Mn0.9Ti0.1O3,5.5271,5.5271,13.4021,155.00,155.78,[60]
La0.57Nd0.1Sr0.33Mn0.8Sn0.2O3,5.5598,5.5598,13.5755,158.00,158.79,[70]
Pr0.7Ca0.3Mn0.9Cr0.1O3,5.4293,7.6691,5.4552,160.00,154.41,[21]
La0.6Pr0.1Ba0.3Mn0.9Ni0.1O3,5.5032,7.7200,5.4690,162.00,162.82,[28]
La0.8Ca0.1vac0.1MnO3,5.5050,7.7866,5.5255,179.00,179.18,[24]
La0.8Ca0.15vac0.05MnO3,5.5066,7.7937,5.5084,181.00,181.11,[24]
Pr0.2Sm0.35Sr0.45MnO3,5.4533,5.4380,7.6786,182.52,182.69,[26]
La0.8Ca0.2MnO3,5.4972,7.7771,5.5149,183.00,182.87,[24]
Pr0.6Ca0.1Sr0.3Mn0.95Fe0.05O3,5.4382,5.4632,7.6826,185.00,187.20,[25]
La0.57Nd0.1Sr0.33Mn0.865Sn0.15O3,5.5481,5.5481,13.4912,187.00,188.47,[70]
La0.67Ca0.33Mn0.75Cr0.25O3,5.4419,7.6921,5.4608,189.00,189.03,[27]
(La0.7Pr0.3)0.8Sr0.2Mn0.9Co0.1O2.97,5.5031,7.7836,5.5238,203.00,202.76,[62]
La0.6Pr0.1Sr0.3Mn0.9Fe0.1O3,5.4983,5.4983,13.3410,205.00,206.13,[54]
(La0.7Pr0.3)0.8Sr0.2Mn0.9Co0.1O3.02,5.4737,7.7432,5.5148,205.00,205.04,[62]
(La0.7Pr0.3)0.8Sr0.2Mn0.9Co0.1O3.01,5.4743,7.7443,5.5148,205.00,205.08,[62]
La0.7Ca0.3Mn0.9Zn0.1O3,5.4410,7.6970,5.4340,206.75,206.53,[65]
La0.7Sr0.3Mn0.9Ti0.1O3,5.5256,5.5256,13.3899,210.00,210.08,[58]
La0.6Pr0.1Ba0.3MnO3,5.5121,7.7508,5.4859,215.00,214.79,[28]
La0.67Ca0.33Mn0.9Cr0.1O3,5.4486,7.7000,5.4673,215.00,214.86,[27]
La0.57Nd0.1Sr0.33Mn0.9Sn0.1O3,5.5394,5.5394,13.4236,224.00,224.78,[70]
Pr0.3Sm0.25Sr0.45MnO3,5.4623,5.4387,7.6779,225.42,225.40,[26]
Pr0.6Ca0.1Sr0.3Mn0.075Fe0.025O3,5.4384,5.4624,7.6776,235.00,233.61,[25]
La0.8Ca0.2MnO3,5.4821,7.7536,5.5128,236.50,236.22,[67]
La0.7vac0.1Ca0.2MnO3,5.4794,7.7500,5.5082,241.00,240.73,[67]
La0.7Ca0.3MnO3,5.4520,5.4630,7.6850,243.00,242.53,[69]
La0.67Ca0.33Mn0.98Ni0.02O3,5.4545,5.4545,13.3922,244.00,244.28,[61]
La0.5Sm0.2Sr0.3Mn0.95Fe0.05O3,5.5036,7.7252,5.4678,253.00,252.12,[19]
Pr0.4Sm0.15Sr0.45MnO3,5.4718,5.4399,7.6773,261.10,260.90,[26]
Pr0.6Ca0.1Sr0.3MnO3,5.4375,5.4647,7.6814,270.00,268.47,[25]
Pr0.5Na0.05Sr0.45MnO3,5.4772,5.4420,7.6441,270.00,269.79,[23]
La0.83Sr0.17MnO3,5.5400,5.5400,13.3800,270.00,269.95,[55]
La0.7Ca0.25Sr0.05MnO3,5.4820,5.4910,7.7210,271.00,270.63,[69]
Pr0.5K0.05Sr0.45MnO3,5.4825,5.4429,7.6503,275.00,274.70,[23]
La0.5Sm0.2Sr0.3MnO3,5.5019,7.7321,5.4696,278.00,276.80,[19]
La0.65Eu0.05Sr0.3Mn0.85Cr0.15O3,5.5108,5.5108,13.3704,278.00,278.35,[51]
La0.8Ba0.1Ca0.1Mn0.97Fe0.03O3,5.5527,5.5527,13.4674,281.00,280.90,[57]
La0.57Nd0.1Sr0.33Mn0.95Sn0.05O3,5.4951,5.4951,13.3520,282.00,282.57,[70]
La0.6Bi0.1Sr0.25Ca0.05Mn0.9Cu0.1O3,5.4962,5.4962,13.3346,290.00,290.37,[52]
La0.6Nd0.1(CaSr)0.3Mn0.9V0.1O3,5.4122,5.4122,13.2984,298.00,297.82,[56]
La0.6Bi0.1Sr0.3Mn0.9Cu0.1O3,5.5063,5.5063,13.3636,300.00,303.17,[52]
La0.7Ba0.3Mn0.9Cr0.1O3,5.5040,5.5040,13.3597,305.00,305.41,[71]
La0.8Ag0.2MnO3,5.1780,5.1780,13.2330,306.20,305.93,[48]
La0.65Eu0.05Sr0.3Mn0.9Cr0.1O3,5.5123,5.5123,13.3770,310.00,309.74,[51]
La0.7Ca0.2Sr0.1MnO3,5.4980,5.5080,7.7310,312.00,311.39,[69]
La0.7Pb0.3Mn0.9Ru0.1O3,5.5372,5.5372,13.4117,313.00,312.61,[49]
La0.67Ba0.33Mn0.98Ti0.02O3,3.9119,3.9119,3.9119,314.00,313.99,[64]
La0.7Sr0.3Mn0.9Cr0.1O3,5.4990,5.4990,13.5050,315.00,315.08,[71]
La0.57Dy0.1Pb0.33MnO3,5.5430,5.5430,13.4657,317.00,316.50,[72]
La0.7Pb0.3Mn0.9Cr0.1O3,5.5220,5.5220,13.5350,320.00,319.87,[71]
La0.7Sr0.3Mn0.9Cu0.1O3,5.4952,5.4952,13.3437,320.00,319.49,[52]
La0.7Ca0.15Sr0.15MnO3,5.5140,5.5160,7.7610,325.00,324.38,[69]
La0.6Pr0.1Sr0.3MnO3,5.4953,5.4953,13.3367,329.00,328.64,[54]
La0.7Ba0.3MnO3,5.5130,5.5130,13.5270,335.00,334.75,[71]
La0.7Pb0.3Mn0.8Ru0.2O3,5.5365,5.5365,13.4237,335.00,334.15,[49]
La0.7Pb0.3MnO3,5.5176,5.5176,13.4116,336.00,335.50,[49]
La0.7Ca0.1Sr0.2MnO3,5.4960,5.4960,13.3190,342.00,341.37,[69]
La0.85Li0.15SrMn2O5+d,3.8591,3.8591,3.8591,345.00,344.91,[63]
(La0.9Er0.1)0.67Pb0.33MnO3,5.4600,7.7900,5.5800,349.00,348.00,[53]
La0.67Ba0.33MnO3,3.9075,3.9075,3.9075,350.00,349.60,[64]
La0.7Pb0.3MnO3,5.5240,5.5240,13.5680,353.00,352.46,[71]
La0.9Li0.1SrMn2O5+d,3.8601,3.8601,3.8601,355.00,354.87,[63]
(La0.56Ce0.14)Sr0.3MnO3,5.5037,5.5037,13.3452,357.00,356.30,[59]
La0.95Li0.05SrMn2O5+d,3.8611,3.8611,3.8611,360.00,359.68,[63]
La0.67Pb0.33MnO3,5.5487,5.5487,13.4735,360.00,358.49,[72]
La0.7Sr0.25Na0.05MnO3,5.5062,5.5062,13.3602,363.00,359.49,[60]
La0.7Sr0.3MnO3,5.4990,5.4990,13.5440,370.00,369.42,[71]
La0.67Sr0.33MnO3,5.4879,5.4879,13.3622,375.00,374.36,[66]
